Model,Size,pass@1*,pass@1,pass@10,pass@100,
GPT-4,N/A,76.2,,,,
ChatGPT,N/A,63.4,61.7,81.2,89.8,
StarCoder,15B,29.3,27.8,50.3,75.4,
CodeGen,2B,20.7,15.1,34.8,55.8,
CodeGen,6B,25.6,23.6,41,64.6,
CodeGen,16B,26.8,27.2,48.4,71.4,
CodeGen2,1B,9.1,8.7,13.7,21.2,
CodeGen2,3B,12.8,12.9,21.2,34.3,
CodeGen2,7B,16.5,15.9,27.1,45.4,
CodeGen2,16B,16.5,,,,
VICUNA,7B,10.4,9.9,20,34.7,
VICUNA,13B,15.2,13.7,25.9,45.8,
SantaCoder,1.1B,12.8,14.1,26.3,40.6,
InCoder,1.3B,10.4,7.9,13.5,20.7,
InCoder,6.7B,12.2,12.4,22.2,38.9,
GPT-J,6B,10.4,9.5,15.2,25.9,
GPT-Neo,2.7B,6.7,6,9,16.8,
PolyCoder,2.7B,5.5,5.3,7.9,13.6,
StableLM,7B,2.4,2.6,6.2,11.9,
